"id","host_id","host_response_time","host_response_rate","host_accept_rate","superhost","n_host_listings","room_type","accommodates","bedrooms","beds","price","min_nights","max_nights","n_reviews","rev_rating","rev_accuracy","rev_clean","rev_checkin","rev_comm","rev_location","rev_value","license","instant_bookable","n_reviews_month","carbon_monoxide_alarm","stove","hot_water","security_cameras","wifi","heating","fire_extinguisher","free_parking","coffee_maker","kitchen","smoke_alarm","dryer","private_entrance","hair_dryer","TV","waterfront","host_greeting","mean_review"
32624420,245267147,"within an hour","81%","99%","0",12,"Hotel room",1,1,1,26,1,1125,10,4.5,4.8,4.6,4.7,4.5,4.9,4.3,"1","1",0.56,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.61428571428571
7447719,34158425,NA,NA,NA,"0",2,"Private room",1,1,1,27,2,1125,1,5,5,5,5,5,5,5,"0","0",0.01,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",5
23200525,39444378,NA,NA,NA,"0",1,"Shared room",2,1,1,27,2,8,15,4.87,4.93,5,5,4.87,4.67,4.8,"0","0",0.36,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.87714285714286
25355910,711896,"within a few hours","90%","50%","0",5,"Shared room",3,1,0,27,30,90,81,4.37,4.48,4.25,4.67,4.83,4.4,4.12,"1","0",2.13,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.44571428571429
32624418,245267147,"within an hour","81%","99%","0",12,"Hotel room",1,1,1,27,1,1125,17,4.47,4.82,4.76,4.76,4.76,4.76,4.47,"1","1",0.66,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.68571428571429
36233004,711896,"within a few hours","90%","50%","0",5,"Private room",1,2,2,27,30,90,3,4.67,4.33,5,4.33,5,4,4,"1","0",0.15,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.47571428571429
47488890,64550563,"within a few hours","91%","50%","0",0,"Private room",1,NA,1,27,7,365,0,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA
7577134,31590693,"within a day","100%",NA,"0",2,"Private room",1,1,1,28,1,1125,0,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA
7795822,27151799,NA,NA,NA,"0",2,"Private room",3,1,1,28,2,1125,23,4.96,5,4.96,4.95,4.96,4.82,4.95,"0","0",0.37,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.94285714285714
9194027,3566142,NA,NA,NA,"0",3,"Private room",2,1,1,28,4,1125,14,4.64,4.79,4.21,4.69,5,4.85,4.15,"0","0",0.21,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.61857142857143
13986711,83008351,NA,NA,NA,"0",1,"Private room",1,1,1,28,5,15,1,4,5,4,5,5,4,4,"0","0",0.02,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.42857142857143
21564625,156810863,"within a few hours","100%","0%","0",1,"Private room",1,1,1,28,7,1125,38,4.95,4.95,5,4.89,4.97,4.59,4.73,"0","0",0.88,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.86857142857143
31945078,237150727,NA,NA,"100%","0",3,"Hotel room",1,1,1,28,1,1125,37,4.43,4.62,4.3,4.65,4.78,4.62,4.49,"1","1",1.59,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.55571428571429
32624425,245267147,"within an hour","81%","99%","0",12,"Hotel room",1,1,1,28,1,1125,10,4.8,5,4.7,5,5,5,5,"1","1",0.36,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.92857142857143
32624429,245267147,"within an hour","81%","99%","0",12,"Hotel room",1,1,1,28,1,1125,156,4.63,4.81,4.71,4.85,4.83,4.85,4.6,"1","1",5.7,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.75428571428571
32625293,245267147,"within an hour","81%","99%","0",12,"Hotel room",1,1,1,28,1,1125,23,4.61,4.87,4.52,4.96,4.87,4.96,4.52,"1","1",0.86,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.75857142857143
38459144,77272371,NA,NA,NA,"0",1,"Private room",1,1,1,28,1,16,2,5,4.5,4.5,4.5,4.5,5,5,"0","0",0.09,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.71428571428571
41709087,237150996,NA,NA,NA,"0",10,"Shared room",1,1,1,28,1,1125,1,5,5,5,5,4,5,4,"1","1",0.05,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.71428571428571
9110045,47479242,NA,NA,NA,"0",3,"Private room",1,1,1,29,4,8,35,4.83,4.97,4.97,4.91,4.89,4.65,4.79,"0","1",0.52,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.85857142857143
11051820,20773372,NA,NA,NA,"0",1,"Private room",1,1,1,29,3,3,3,3.67,4.67,3.67,5,5,4.67,4.33,"0","1",0.05,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.43
18859385,131160277,NA,NA,NA,"0",1,"Private room",2,1,1,29,2,1125,2,4.5,5,4,5,5,4,4,"0","0",0.04,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.5
31023427,126214405,NA,NA,NA,"0",1,"Private room",2,1,1,29,1,30,63,4.63,4.81,4.49,4.76,4.81,4.59,4.6,"0","0",2.29,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.67
31945123,237150996,NA,NA,NA,"0",10,"Shared room",1,1,1,29,1,1125,100,4.43,4.6,4.41,4.72,4.64,4.96,4.55,"0","1",4.11,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.61571428571429
32624414,245267147,"within an hour","81%","99%","0",12,"Hotel room",1,1,1,29,1,1125,46,4.5,4.76,4.41,4.74,4.85,4.78,4.63,"1","1",1.7,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.66714285714286
32624427,245267147,"within an hour","81%","99%","0",12,"Hotel room",1,1,1,29,1,1125,13,4.62,5,4.46,5,4.85,4.92,4.69,"1","1",0.48,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.79142857142857
34476107,14585159,NA,NA,NA,"0",2,"Private room",1,1,1,29,7,30,3,5,4,5,5,5,4.5,5,"0","0",0.11,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.78571428571429
